

[0, 1, 2, 3, 4, 5, 6, 7, 8]
[0, 18, 18, 198, 324, 702, 954, 1332, 1584, 1962]
6.0
1962 x 1962 matrix
         66839812 function calls (66835249 primitive calls) in 97.993 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001    0.002    0.002 lil.py:88(__init__)
        6    0.000    0.000    0.002    0.000 _threadsafety.py:43(decorate)
        1    0.000    0.000    0.002    0.002 dis.py:1(<module>)
        6    0.000    0.000    0.002    0.000 decorator.py:225(decorate)
        1    0.000    0.000    0.002    0.002 nanfunctions.py:22(<module>)
        1    0.000    0.000    0.002    0.002 polynomial.py:4(<module>)
        1    0.000    0.000    0.002    0.002 lapack.py:656(<module>)
      266    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:840(path_stats)
     1131    0.001    0.000    0.002    0.000 sre_parse.py:253(get)
      350    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:151(__exit__)
      318    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:524(spec_from_file_location)
        1    0.000    0.000    0.002    0.002 decorator.py:33(<module>)
  387/198    0.001    0.000    0.002    0.000 sre_parse.py:173(getwidth)
        1    0.000    0.000    0.002    0.002 base.py:1(<module>)
       40    0.000    0.000    0.002    0.000 sre_compile.py:482(_compile_info)
       10    0.001    0.000    0.001    0.000 {built-in method io.open}
      116    0.001    0.000    0.001    0.000 abc.py:135(<setcomp>)
     5720    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
       14    0.000    0.000    0.001    0.000 hashlib.py:116(__get_openssl_constructor)
        1    0.000    0.000    0.001    0.001 _basic.py:5(<module>)
        8    0.000    0.000    0.001    0.000 hashlib.py:73(__get_builtin_constructor)
        1    0.000    0.000    0.001    0.001 twodim_base.py:3(<module>)
        1    0.000    0.000    0.001    0.001 polynomial.py:57(<module>)
        1    0.000    0.000    0.001    0.001 getlimits.py:96(_register_known_types)
        1    0.000    0.000    0.001    0.001 arpack.py:7(<module>)
       34    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1281(_fill_cache)
     1380    0.001    0.000    0.001    0.000 sre_parse.py:232(__next)
        1    0.001    0.001    0.001    0.001 datetime.py:1034(time)
      971    0.001    0.000    0.001    0.000 sre_parse.py:163(__getitem__)
        1    0.000    0.000    0.001    0.001 matfuncs.py:5(<module>)
      125    0.000    0.000    0.001    0.000 re.py:169(match)
       10    0.000    0.000    0.001    0.000 _datasource.py:367(_possible_names)
       34    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1067(_path_hooks)
        1    0.000    0.000    0.001    0.001 result.py:1(<module>)
       15    0.000    0.000    0.001    0.000 _datasource.py:337(_iszip)
        1    0.000    0.000    0.001    0.001 _type_aliases.py:24(<module>)
        6    0.000    0.000    0.001    0.000 getlimits.py:37(__init__)
      441    0.001    0.000    0.001    0.000 {built-in method builtins.any}
        1    0.000    0.000    0.001    0.001 basic.py:3(<module>)
        2    0.000    0.000    0.001    0.001 utils.py:1(<module>)
       19    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:728(create_module)
        1    0.000    0.000    0.001    0.001 difflib.py:27(<module>)
       16    0.000    0.000    0.001    0.000 _version.py:55(__init__)
       34    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
       10    0.001    0.000    0.001    0.000 {method 'close' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.001    0.001 bz2.py:5(<module>)
        1    0.000    0.000    0.001    0.001 utils.py:4(<module>)
       25    0.000    0.000    0.001    0.000 _datasource.py:206(keys)
        1    0.000    0.000    0.001    0.001 linsolve.py:1(<module>)
        8    0.000    0.000    0.001    0.000 doccer.py:224(decorate)
       19    0.001    0.000    0.001    0.000 {built-in method _imp.create_builtin}
        1    0.000    0.000    0.001    0.001 loader.py:1(<module>)
        8    0.000    0.000    0.001    0.000 doccer.py:12(docformat)
      349    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:176(cb)
        1    0.000    0.000    0.001    0.001 ntpath.py:6(<module>)
      801    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:416(parent)
       30    0.000    0.000    0.001    0.000 _datasource.py:173(_load)
      281    0.000    0.000    0.001    0.000 function_base.py:446(_add_docstring)
        7    0.000    0.000    0.001    0.000 decorator.py:95(__init__)
        1    0.000    0.000    0.001    0.001 selectors.py:5(<module>)
      532    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:63(_path_split)
      123    0.000    0.000    0.001    0.000 enum.py:70(__setitem__)
        1    0.000    0.000    0.001    0.001 arraysetops.py:27(<module>)
       44    0.000    0.000    0.001    0.000 core.py:145(get_object_signature)
        1    0.000    0.000    0.001    0.001 miobase.py:7(<module>)
      140    0.000    0.000    0.001    0.000 _internal.py:784(_ufunc_doc_signature_formatter)
     2735    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
      220    0.001    0.000    0.001    0.000 inspect.py:2452(__init__)
     3568    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
        7    0.000    0.000    0.001    0.000 inspect.py:1089(getfullargspec)
       34    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1322(path_hook_for_FileFinder)
      349    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:58(__init__)
     1000    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:847(__exit__)
       26    0.000    0.000    0.001    0.000 core.py:6660(__init__)
      373    0.001    0.000    0.001    0.000 _weakrefset.py:36(__init__)
        1    0.000    0.000    0.001    0.001 blas.py:202(<module>)
       26    0.000    0.000    0.001    0.000 core.py:6665(getdoc)
        1    0.000    0.000    0.001    0.001 argparse.py:62(<module>)
        7    0.000    0.000    0.001    0.000 decorator.py:169(make)
        3    0.000    0.000    0.001    0.000 typing.py:1248(__getitem__)
       91    0.000    0.000    0.001    0.000 enum.py:797(__or__)
